instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
75B_6F_robust_gamma_0d05_theta_0d052,0.05199999999999999,0.05,329225486.6306599,maxTimeLimit,1733346,90326,0.006528098175895331,3600.1790421009064,3663.84,331374702.92939174,,"(0.0,)","(0.0,)","(7937.647359157875,)",344828639.2320001
75B_6F_robust_gamma_0d1_theta_0d052,0.05199999999999999,0.1,316481444.10706896,maxTimeLimit,1733346,90326,0.01425957025557232,3600.153783082962,3665.08,320994333.4938987,,"(0.0,)","(0.0,)","(7783.180060731963,)",344828639.2320002
75B_6F_robust_gamma_0d15_theta_0d052,0.05199999999999999,0.15,308692991.6706143,maxTimeLimit,1733346,90326,0.009087437007650972,3600.3109571933746,3665.36,311498219.78712434,,"(0.0,)","(0.0,)","(7526.837266246817,)",344828639.2319998
75B_6F_robust_gamma_0d2_theta_0d052,0.05199999999999999,0.2,299802255.79290146,maxTimeLimit,1733346,90326,0.010881911887364175,3600.162521123886,3665.2,303064677.5240728,,"(0.0,)","(0.0,)","(7641.702657806471,)",344828639.23200005
75B_6F_robust_gamma_0d25_theta_0d052,0.05199999999999999,0.25,287943831.8612578,maxTimeLimit,1733346,90326,0.022199437091594602,3600.217047929764,3665.16,294336022.8425745,,"(0.0,)","(0.0,)","(7879.374493474951,)",344828639.2320001
75B_6F_robust_gamma_0d3_theta_0d052,0.05199999999999999,0.3,282106187.93480355,maxTimeLimit,1733346,90326,0.016816668189037876,3600.2074007987976,3665.16,286850274.0913775,,"(0.0,)","(0.0,)","(8038.6394078560825,)",344828639.23200005
75B_6F_robust_gamma_0d35_theta_0d052,0.05199999999999999,0.35,262461051.4149669,maxTimeLimit,1733346,90326,0.06647100400115122,3600.2485671043396,3665.1,279907101.01371753,,"(0.0,)","(0.0,)","(6230.720138397814,)",344828639.2319998
75B_6F_robust_gamma_1d0_theta_0d052,0.05199999999999999,1.0,222776358.61419845,optimal,1733346,90326,0.0003155121507584288,418.6145429611206,483.47,222846647.26224294,,"(0.0,)","(0.0,)","(2883.268232070375,)",344828639.2320001
100B_3F_robust_gamma_0d05_theta_0d052,0.05199999999999999,0.05,365258747.69217634,maxTimeLimit,1531121,60721,0.06702991427038853,3600.097604036331,3656.18,389742010.2364924,,"(0.0,)","(135004.58999999988,)","(4961.510244032533,)",423797768.63424027
100B_3F_robust_gamma_0d1_theta_0d052,0.05199999999999999,0.1,334872360.88138515,maxTimeLimit,1531121,60721,0.13272042275931004,3600.130158185959,3655.46,379316762.1879708,,"(0.0,)","(135004.5899999998,)","(5808.589988519116,)",423797768.6342402
