objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,runtime,best_bound,node_count,gamma,uncertainty,instance,category
9965934.022885922,optimal,760639,118645,9.670383344439116e-05,13.4201819896698,9964970.278862055,,10.0,0.1,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10114446.799273461,optimal,760639,118645,8.544280112076071e-05,15.977070093154907,10113582.592607144,,10.0,0.2,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10262846.2857046,optimal,760639,118645,5.114613328332001e-05,17.777699947357178,10262321.380800605,,10.0,0.3,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10011797.675152594,optimal,760639,118645,9.819976627287191e-05,11.081979990005493,10010814.518960923,,15.0,0.1,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10206139.26833237,optimal,760639,118645,8.439790153113781e-05,17.863536834716797,10205277.891595388,,15.0,0.2,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10400779.47350584,optimal,760639,118645,9.525050513974886e-05,9.826841115951538,10399788.794007141,,15.0,0.3,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10038147.013336308,optimal,760639,118645,7.51469621167785e-05,16.60041093826294,10037392.677082974,,20.0,0.1,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10259434.01794898,optimal,760639,118645,9.381860255408806e-05,13.326701879501343,10258471.49218642,,20.0,0.2,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10480563.154912584,optimal,760639,118645,9.797115626963322e-05,12.668141841888428,10479536.36202194,,20.0,0.3,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10039992.946826776,optimal,760639,118645,7.296591346795982e-05,13.281924962997437,10039260.3695702,,25.0,0.1,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10263121.069505826,optimal,760639,118645,9.995371548391099e-05,10.105395078659058,10262095.232422467,,25.0,0.2,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10486055.129174175,optimal,760639,118645,9.923115472818988e-05,12.964646100997925,10485014.585815163,,25.0,0.3,instance_Factivel42_B30_F4_T9_30_4_9_202507081636.pkl,robust
10262444.322149241,optimal,950719,148222,7.081710564543314e-05,16.253302097320557,10261717.5655455,,0.5,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10272548.630814226,optimal,950719,148222,7.93048651709619e-05,12.273423194885254,10271733.967730097,,0.5,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10282359.704195585,optimal,950719,148222,6.860477252780099e-05,17.95405602455139,10281654.28524703,,0.5,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10272370.409670997,optimal,950719,148222,6.20246944175804e-05,15.080703973770142,10271733.269035393,,1.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10292327.535327068,optimal,950719,148222,6.455622751073921e-05,15.38343596458435,10291663.101489082,,1.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10312550.229927752,optimal,950719,148222,9.886921602128578e-05,9.46988296508789,10311530.63617134,,1.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
